,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff,,,,,,,,,,,,,,,,,,,,
"lor[5,15]",-3.188267048,2.531694612,-8.011218378,-4.812050459,-3.175586468,-1.592915243,1.671182969,1.000721629,3000,,,,,,,,,,,,,,,,,,,,
"lor[6,15]",-3.103878993,2.732053043,-8.246828673,-4.881411752,-3.181484391,-1.384567685,2.436277846,1.000690448,3000,,,,,,,,,,,,,,,,,,,,
"lor[7,15]",-2.235266391,2.551200267,-7.134811689,-3.882025093,-2.290963681,-0.589995023,2.887974652,1.000993681,3000,,,,,,,,,,,,,,,,,,,,
"lor[8,15]",-3.113200781,2.572236998,-8.084355125,-4.755859609,-3.141534245,-1.53114414,2.035263419,1.001809396,1500,,,,,,,,,,,,,,,,,,,,
"lor[9,15]",-3.181117481,2.524493205,-7.929806642,-4.852987136,-3.173459196,-1.64584331,1.996972397,1.000888421,3000,,,,,,,,,,,,,,,,,,,,
"lor[10,15]",-3.018858785,2.471206862,-7.661629987,-4.641685681,-3.014081973,-1.51826471,1.912914735,1.000983171,3000,,,,,,,,,,,,,,,,,,,,
"lor[11,15]",-2.93326831,2.51665899,-7.692579181,-4.566292634,-2.974233847,-1.40966082,2.144004337,1.00120154,3000,,,,,,,,,,,,,,,,,,,,
"lor[12,15]",-3.255885542,2.496659369,-8.026378112,-4.919249158,-3.289038826,-1.681700441,1.6801151,1.000875234,3000,,,,,,,,,,,,,,,,,,,,
"lor[13,15]",-3.609161312,2.573171458,-8.664570448,-5.216247337,-3.622109318,-2.018339932,1.492947203,1.000645647,3000,,,,,,,,,,,,,,,,,,,,
"lor[14,15]",-1.448224433,2.616675727,-6.448221408,-3.161339335,-1.472071337,0.229805352,3.835732286,1.000587362,3000,,,,,,,,,,,,,,,,,,,,
"lor[1,16]",-3.075156636,1.219166486,-5.505628608,-3.84060125,-3.107729001,-2.317112351,-0.566523106,1.00083072,3000,,,,,,,,,,,,,,,,,,,,
"lor[2,16]",-3.630062035,1.492913825,-6.376079078,-4.570479349,-3.712292034,-2.740057565,-0.454558301,1.002905124,830,,,,,,,,,,,,,,,,,,,,
"lor[3,16]",-1.04587966,1.305722718,-3.571810022,-1.899876622,-1.07506222,-0.259080662,1.657600289,1.000556582,3000,,,,,,,,,,,,,,,,,,,,
"lor[4,16]",-1.13816305,1.35445789,-3.709536152,-2.02013906,-1.194351546,-0.333859768,1.737198312,1.000740537,3000,,,,,,,,,,,,,,,,,,,,
"lor[5,16]",-2.463993372,1.468501496,-5.138579483,-3.435323266,-2.565289436,-1.584644471,0.679836991,1.002008313,1300,,,,,,,,,,,,,,,,,,,,
"lor[6,16]",-2.379605317,1.365751831,-4.996172604,-3.261147614,-2.398638008,-1.526752594,0.307051942,1.000851406,3000,,,,,,,,,,,,,,,,,,,,
"lor[7,16]",-1.510992715,1.523893881,-4.436460646,-2.486338272,-1.595673601,-0.585032991,1.638030821,1.001839494,1800,,,,,,,,,,,,,,,,,,,,
"lor[8,16]",-2.388927105,1.518460128,-5.307393678,-3.32459925,-2.433378372,-1.507085765,0.8740538,1.004576578,490,,,,,,,,,,,,,,,,,,,,
"lor[9,16]",-2.456843805,1.448388041,-5.232287321,-3.360522394,-2.531084069,-1.564125116,0.643920685,1.000916379,3000,,,,,,,,,,,,,,,,,,,,
"lor[10,16]",-2.294585109,1.332830716,-5.011412768,-3.126747142,-2.339444106,-1.479641442,0.355169424,1.001484387,2000,,,,,,,,,,,,,,,,,,,,
"lor[11,16]",-2.208994634,1.389763038,-4.919022503,-3.064528582,-2.26434389,-1.343015976,0.627654757,1.00150875,2000,,,,,,,,,,,,,,,,,,,,
"lor[12,16]",-2.531611866,1.373511048,-5.22061923,-3.38640789,-2.600090799,-1.70239837,0.33973897,1.001842298,1500,,,,,,,,,,,,,,,,,,,,
"lor[13,16]",-2.884887636,1.527764806,-5.785170519,-3.842406187,-2.953115594,-1.967203677,0.36006256,1.002097843,1800,,,,,,,,,,,,,,,,,,,,
"lor[14,16]",-0.723950757,1.637297777,-3.897762031,-1.834368769,-0.751542308,0.309279917,2.685757582,1.001265038,2600,,,,,,,,,,,,,,,,,,,,
"lor[15,16]",0.724273676,2.690478994,-4.628167863,-0.982102574,0.803412023,2.536409697,5.820257188,1.000862916,3000,,,,,,,,,,,,,,,,,,,,
"lor[1,17]",-3.310636227,2.236754345,-7.784106799,-4.687088969,-3.282820198,-1.875650244,1.109461663,1.002896052,840,,,,,,,,,,,,,,,,,,,,
"lor[2,17]",-3.865541626,2.348788614,-8.756984126,-5.356529099,-3.833452139,-2.329522368,0.809799543,1.004680496,480,,,,,,,,,,,,,,,,,,,,
"lor[3,17]",-1.281359251,2.263134874,-5.980952301,-2.710844158,-1.229254293,0.217743216,3.229723468,1.002334242,1100,,,,,,,,,,,,,,,,,,,,
"lor[4,17]",-1.37364264,2.301280909,-6.091302492,-2.808724794,-1.287183493,0.135621471,3.125099976,1.003088713,770,,,,,,,,,,,,,,,,,,,,
"lor[5,17]",-2.699472963,2.370513064,-7.736378701,-4.134601721,-2.636769068,-1.168696401,1.903141035,1.004331923,520,,,,,,,,,,,,,,,,,,,,
"lor[6,17]",-2.615084908,2.507432655,-7.623409766,-4.259897636,-2.588584573,-0.9967227,2.346187771,1.002842116,860,,,,,,,,,,,,,,,,,,,,
"lor[7,17]",-1.746472306,2.385820293,-6.693632731,-3.238073862,-1.708230743,-0.199301668,3.015903812,1.003361419,700,,,,,,,,,,,,,,,,,,,,
"lor[8,17]",-2.624406696,2.38846691,-7.582221646,-4.177785525,-2.591494366,-1.080120324,2.07240744,1.005184698,430,,,,,,,,,,,,,,,,,,,,
"lor[9,17]",-2.692323396,2.36465107,-7.535519503,-4.136621585,-2.636246254,-1.144205732,1.914471655,1.002604205,950,,,,,,,,,,,,,,,,,,,,
"lor[10,17]",-2.5300647,2.282125252,-7.177282678,-3.971946041,-2.497435613,-1.061498565,2.040810875,1.003270406,720,,,,,,,,,,,,,,,,,,,,
"lor[11,17]",-2.444474225,2.332294431,-7.113973444,-3.925494154,-2.376772327,-0.927751333,2.178264821,1.003032701,790,,,,,,,,,,,,,,,,,,,,
"lor[12,17]",-2.767091456,2.314616474,-7.597762362,-4.197317164,-2.705190389,-1.263810036,1.826043764,1.003834568,600,,,,,,,,,,,,,,,,,,,,
"lor[13,17]",-3.120367227,2.38984462,-8.020794774,-4.635542633,-3.093318309,-1.576988383,1.682206848,1.004078271,560,,,,,,,,,,,,,,,,,,,,
"lor[14,17]",-0.959430348,2.472433746,-5.974560511,-2.513407742,-0.917467046,0.606046459,3.812987254,1.003659408,630,,,,,,,,,,,,,,,,,,,,
"lor[15,17]",0.488794085,3.406108062,-6.245459975,-1.534552046,0.475021608,2.552971306,7.162655309,1.002903427,1100,,,,,,,,,,,,,,,,,,,,
"lor[16,17]",-0.235479591,2.556073239,-5.336139407,-1.891093973,-0.200318411,1.434151463,4.774701456,1.001908878,1400,,,,,,,,,,,,,,,,,,,,
resdev[1],1.164375906,1.400908453,0.020715086,0.237840332,0.645773387,1.556207655,4.909147396,1.005497661,420,,,,,,,,,,,,,,,,,,,,
resdev[2],1.851064039,1.823334617,0.057412838,0.540948569,1.276567003,2.557834088,6.806957457,1.007692248,280,,,,,,,,,,,,,,,,,,,,
resdev[3],1.995764402,1.982963577,0.047186434,0.578079017,1.370392162,2.792358096,7.310914802,1.002142506,1200,,,,,,,,,,,,,,,,,,,,
resdev[4],1.660396568,1.675900393,0.046704878,0.491150587,1.125456936,2.241348358,6.349260584,1.001107163,3000,,,,,,,,,,,,,,,,,,,,
resdev[5],1.712148485,1.769943147,0.042189895,0.498221425,1.163778616,2.363509445,6.284213779,1.006663918,1400,,,,,,,,,,,,,,,,,,,,
resdev[6],1.942030074,1.948863111,0.052845281,0.558920247,1.314880145,2.702417815,7.18854269,1.000530712,3000,,,,,,,,,,,,,,,,,,,,
resdev[7],1.109420447,1.396577144,0.01757275,0.200652942,0.578849411,1.474903574,4.907466225,1.001859818,1500,,,,,,,,,,,,,,,,,,,,
resdev[8],2.122491437,1.959168692,0.06881395,0.662116176,1.543924391,2.972404241,7.389385801,1.013868657,180,,,,,,,,,,,,,,,,,,,,
resdev[9],2.020910241,1.989942426,0.051485889,0.598274112,1.430687593,2.789556675,7.208698737,1.001596994,3000,,,,,,,,,,,,,,,,,,,,
resdev[10],2.090707265,1.912891093,0.065604928,0.685429682,1.580053545,2.91685306,7.007731929,1.002131411,1400,,,,,,,,,,,,,,,,,,,,
resdev[11],1.943965061,1.806922479,0.061970289,0.660341668,1.413954604,2.652832238,6.805970744,1.001291784,2500,,,,,,,,,,,,,,,,,,,,
resdev[12],1.528987786,1.556112632,0.038838246,0.441193056,1.042983473,2.111199152,5.822303847,1.000695788,3000,,,,,,,,,,,,,,,,,,,,
resdev[13],1.7777292,1.69335043,0.078036293,0.602800465,1.264540615,2.396399739,6.194544733,1.000608062,3000,,,,,,,,,,,,,,,,,,,,
